Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1504224000000,0.081967,0.084408,0.080015,0.080849,28097.572,1504310399999,2304.83350874,28007,15142.462,1242.62642507,84919.76768269
1504310400000,0.080849,0.08274,0.073861,0.076396,32502.566,1504396799999,2516.50876939,33563,16709.197,1293.33206464,87519.78442451
1504396800000,0.076396,0.07886,0.07374,0.075938,42102.842,1504483199999,3203.02652891,44358,22606.977,1721.1331799,88087.12404857
1504483200000,0.076031,0.076071,0.065,0.07032,50413.571,1504569599999,3570.09857989,45840,26631.602,1883.86810144,77119.81932553
1504569600000,0.070276,0.072154,0.065655,0.071788,41673.107,1504655999999,2918.42712289,42865,23435.549,1641.34168729,82323.90789166
1504656000000,0.071788,0.073871,0.070954,0.072821,34711.436,1504742399999,2515.95803224,35794,18612.114,1349.61189515,84763.06977404
1504742400000,0.072821,0.07299,0.065,0.0716,16057.518,1504828799999,1144.17562648,16711,7059.143,504.19017142,82526.80962161
1504828800000,0.0716,0.07251,0.06555,0.070246,22241.963,1504915199999,1562.36501504,22229,8979.833,633.68242467,79848.59094656
1504915200000,0.070246,0.071678,0.068033,0.070151,8597.585,1505001599999,599.01824029,8863,3735.54,260.75655268,74712.70835115
1505001600000,0.0701,0.0711,0.068181,0.070127,7873.985,1505087999999,548.59164025,8966,3221.932,224.96899707,72108.07698301
1505088000000,0.070599,0.071998,0.068755,0.07063,7460.722,1505174399999,524.55179229,10344,3026.373,213.34400718,70010.65222023
1505174400000,0.0706,0.072784,0.068,0.0706,14505.753,1505260799999,1030.41483522,18056,6932.206,494.14967517,70070.60153339
1505260800000,0.070763,0.071498,0.067356,0.071468,7572.948,1505347199999,529.43032284,9717,3228.553,226.27556086,67083.5424068
1505347200000,0.071398,0.071509,0.067101,0.068765,11387.596,1505433599999,792.61883382,14244,4862.798,339.10360899,67291.11800887
1505433600000,0.068047,0.071,0.065,0.069512,10770.278,1505519999999,742.29486288,14219,5117.551,353.61324964,64252.91009631
1505520000000,0.069519,0.070036,0.066739,0.068315,8247.263,1505606399999,567.93957323,9351,3773.404,260.14301168,63644.31507206
1505606400000,0.068372,0.070488,0.067234,0.069848,4193.778,1505692799999,288.40907718,5293,2183.434,150.38883452,61101.13737514
1505692800000,0.069848,0.075913,0.069615,0.0731,5846.332,1505779199999,427.76936565,8877,2665.644,195.20530668,60397.47132269
1505779200000,0.073045,0.073523,0.0718,0.072525,8900.485,1505865599999,644.48417376,12928,4668.936,338.30472817,60344.7395528
1505865600000,0.072454,0.0734,0.0718,0.073345,16794.262,1505951999999,1218.21445515,20443,8133.191,589.93719961,60239.65020019
1505952000000,0.073345,0.073799,0.070565,0.07141,24583.899,1506038399999,1786.32644351,20774,11813.324,858.12250098,60609.52923576
1506038400000,0.07141,0.072964,0.071,0.072964,24350.635,1506124799999,1754.98888389,21630,11599.357,835.65823386,63316.93684299
1506124800000,0.072874,0.075694,0.071964,0.075557,23028.2,1506211199999,1693.76539937,21738,10956.602,805.17986557,62508.86990743
1506211200000,0.075556,0.077998,0.075398,0.077123,28776.606,1506297599999,2214.74545149,22889,14109.838,1085.80294784,62729.13499539
1506297600000,0.077184,0.0773,0.074527,0.075174,34549.321,1506383999999,2626.33423195,23656,18240.625,1386.89635098,64184.33111866
1506384000000,0.075173,0.07595,0.073392,0.074491,35669.831,1506470399999,2658.01527455,28488,18946.074,1412.10550441,71142.64377362
1506470400000,0.074492,0.074731,0.071977,0.073445,44263.081,1506556799999,3244.84779012,33430,23669.172,1735.73878839,74084.8877869
1506556800000,0.073465,0.0737,0.071509,0.072509,52476.402,1506643199999,3807.32971704,46234,28181.113,2045.52277031,82349.71463412
1506643200000,0.072507,0.07259,0.069015,0.07091,40578.601,1506729599999,2864.26565857,40812,20067.43,1417.59131521,81911.33521906
1506729600000,0.070878,0.0733,0.069401,0.070062,37140.806,1506815999999,2622.79601338,41460,17491.197,1236.54940711,88439.42297005
1506816000000,0.070181,0.071484,0.068109,0.069105,38693.377,1506902399999,2694.17980938,41213,18853.072,1313.43391925,96631.95210275
1506902400000,0.069104,0.069299,0.0665,0.068658,40647.555,1506988799999,2757.77106947,43929,19212.463,1304.60085814,99017.43727554
1506988800000,0.06829,0.06902,0.066808,0.068016,37219.457,1507075199999,2534.36735403,40039,17851.871,1216.21148075,92956.98811034
1507075200000,0.06775,0.070633,0.067477,0.069249,34536.247,1507161599999,2386.78784377,39480,16859.769,1166.04437927,91864.85861871
1507161600000,0.069147,0.070223,0.067666,0.068509,27871.849,1507247999999,1921.11897596,30952,13261.811,914.70615244,93082.83738569
1507248000000,0.068509,0.071062,0.067976,0.070986,31667.564,1507334399999,2180.85885835,35870,15354.831,1057.84843024,94556.00390113
1507334400000,0.070779,0.072239,0.069733,0.070365,28812.37,1507420799999,2042.98486052,30914,13238.389,939.21389176,95683.00059248
1507420800000,0.070262,0.07062,0.066554,0.067053,35998.516,1507507199999,2477.45900959,38955,16535.46,1139.12579324,96050.49409454
1507507200000,0.066964,0.067457,0.058516,0.06215,46465.45,1507593599999,2955.4917142,56350,21264.643,1353.95624997,96362.85524303
1507593600000,0.062316,0.066501,0.059963,0.063038,44208.704,1507679999999,2741.74387073,51831,21086.994,1308.46934214,99012.020976
1507680000000,0.063047,0.064117,0.061651,0.063065,30902.734,1507766399999,1946.11810028,32973,15534.613,978.37021485,100696.50159612
1507766400000,0.063064,0.0635,0.055748,0.055763,39216.6,1507852799999,2330.92951822,36822,18577.167,1105.49581427,98285.65411766
1507852800000,0.055763,0.062496,0.051084,0.060017,58977.006,1507939199999,3386.47475753,47101,25687.13,1475.15634351,108307.77799359
1507939200000,0.060019,0.0621,0.057431,0.058679,26992.222,1508025599999,1622.88547018,21761,12720.888,765.4182714,111142.4834725
1508025600000,0.058679,0.060999,0.057413,0.059281,28566.596,1508111999999,1687.42206852,22613,13870.28,820.13002793,111022.00575221
1508112000000,0.059107,0.062166,0.057721,0.058294,33150.297,1508198399999,1991.54422185,29094,17154.462,1031.05681138,113985.11169272
1508198400000,0.058026,0.060348,0.055838,0.056612,24987.9,1508284799999,1439.04071608,21985,12227.851,705.03856511,121257.7325803
1508284800000,0.056612,0.057341,0.055398,0.056161,27764.705,1508371199999,1565.22208092,24718,13244.165,747.43506104,123470.94593511
1508371200000,0.056299,0.056527,0.0532,0.053886,26329.594,1508457599999,1438.77918081,24259,13517.845,739.96057246,124127.45839721
1508457600000,0.053886,0.054499,0.049547,0.050511,33404.445,1508543999999,1757.4730448,28392,15655.182,824.96590135,123882.13026971
1508544000000,0.050503,0.051225,0.04705,0.049954,29712.017,1508630399999,1453.50711148,22300,14414.564,704.77948875,123127.52882388
1508630400000,0.049954,0.0516,0.048904,0.048973,24111.205,1508716799999,1207.39385901,21104,11951.538,598.99207104,121760.76341013
1508716800000,0.049336,0.049375,0.047177,0.047839,33580.724,1508803199999,1624.06189099,24487,16737.005,810.13468362,125082.04163325
1508803200000,0.047852,0.056,0.047184,0.053709,43723.845,1508889599999,2335.69406199,35218,21051.543,1124.2643769,126854.43540945
1508889600000,0.053712,0.054154,0.051572,0.051794,26376.618,1508975999999,1404.04563572,19740,11500.897,613.13258203,125542.11511266
1508976000000,0.051794,0.052395,0.049509,0.050089,23839.182,1509062399999,1212.37656977,20799,10509.381,534.10794137,125015.67905729
1509062400000,0.050311,0.051849,0.0495,0.051319,24822.76,1509148799999,1259.20799934,20815,11892.432,604.07281683,124973.01333668
1509148800000,0.051322,0.051859,0.050451,0.051154,22713.123,1509235199999,1161.88843763,19470,12000.522,614.13420818,125258.48079811
1509235200000,0.051199,0.053965,0.048448,0.04965,32926.867,1509321599999,1692.49072668,27499,14937.078,769.00463573,125571.89318978
1509321600000,0.049364,0.0512,0.049364,0.049899,28009.721,1509407999999,1403.62453565,24322,13464.297,675.54366611,131298.78341356
1509408000000,0.049977,0.050576,0.04681,0.047001,31924.015,1509494399999,1563.89735416,30246,14975.882,734.64161265,132027.26666399
1509494400000,0.047001,0.04769,0.042296,0.042766,44203.963,1509580799999,2028.27949209,40271,21587.325,990.58819784,136742.86382963
1509580800000,0.042797,0.043177,0.037589,0.040287,60117.457,1509667199999,2457.05843823,49606,28997.504,1186.1969459,141653.48167664
1509667200000,0.040488,0.043951,0.039401,0.042666,48031.894,1509753599999,1959.36265397,40705,22659.397,925.17261378,147417.10443676
1509753600000,0.042661,0.043084,0.039755,0.040575,34727.418,1509839999999,1438.70965152,33201,14820.594,614.46356359,149491.74328532
1509840000000,0.040535,0.040981,0.038815,0.040147,34433.008,1509926399999,1373.39796019,30630,14839.514,592.37912464,163794.63009765
1509926400000,0.04014,0.0435,0.039856,0.042641,44094.715,1510012799999,1819.81961251,35402,21225.421,876.5912788,157485.37350833
1510012800000,0.042643,0.042926,0.0405,0.041049,41768.583,1510099199999,1740.8603085,37882,20266.042,845.13956879,163370.12620204
